Global rank,Global rank preyear,Company,Country,Sector,Market value $m,Turnover $m,Net income $m,Total assets $m,Employees,Price $,P/e ratio,Dividend yield (%),Year End ,Country code,Sector code
351,,Avago Technologies,US,Technology hardware & equipment,32581.4,4196.7,258.5,10629.6,8400,127,,1,2/11/2014,0,0
352,,National Commercial Bank,Saudi Arabia,Banks,32550.2,N/R,2306.8,115903.7,,16.3,13.8,1,12/31/2014,20,4
353,335,Femsa,Mexico,Beverages,32532.9,17861.8,1132.3,25078.9,,9.4,,1.6,12/31/2014,28,14
354,400,Twitter,US,Software & computer services,32443.7,1403,-577.8,5583.1,3638,50.1,,,12/31/2014,0,3
355,439,Air Products & Chemicals,US,Chemicals,32415.4,10439,991.7,17722.5,21200,151.3,32.8,2,9/30/2014,0,18
356,328,Royal Bank of Scotland,UK,Banks,32374.8,N/R,-4316.2,1634301.2,108700,5.1,,,12/31/2014,7,4
357,321,Mitsubishi Estate,Japan,Real estate investment & services,32312.2,N/R,623,46078.1,7952,23.2,51.6,0.5,3/31/2014,4,32
358,466,State Bank of India,India,Banks,32286.9,N/R,2361.4,399099.6,222033,4.3,12.6,0.2,3/31/2014,18,4
359,391,Panasonic,Japan,Leisure goods,32257.4,74967.1,1167.1,49301.8,271789,13.2,25.8,1,3/31/2014,4,12
360,392,Thomson Reuters,Canada,Media,32123.2,12607,1909,30547,53000,40.5,17.3,3.3,12/31/2014,17,15
361,405,V F,US,Personal goods,32043.5,12282.2,1047.5,9959.9,59000,75.3,31.6,1.5,3/1/2015,0,20
362,444,CME Group,US,Financial services,31949.5,N/R,1127.1,72241.5,2680,94.7,28.3,2,12/31/2014,0,17
363,415,Northrop Grumman,US,Aerospace & defence,31935.4,23979,2069,24950,64300,161,16.5,1.7,12/31/2014,0,25
364,301,Franklin Resources,US,Financial services,31912.2,N/R,2370,16259,9300,51.3,13.5,0.9,9/30/2014,0,17
365,287,Eaton,US,General industrials,31763,22552,1793,33301,102000,67.9,18.1,2.9,12/31/2014,0,8
366,291,Syngenta,Switzerland,Chemicals,31646.3,13981.8,1495.7,18921.1,29000,340.5,20.9,3.3,12/31/2014,2,18
367,365,East Japan Railway,Japan,Travel & leisure,31630.9,26191.3,1937.4,69825.1,73551,80.4,16.3,1.5,3/31/2014,4,27
368,477,HCA Holdings,US,Health care equipment & services,31559.3,36918,1875,31199,225000,75.2,18.1,,12/31/2014,0,23
369,344,Pernod-Ricard,France,Beverages,31398.5,10883.5,1391.8,35191.7,18308,118.3,22.4,1.9,6/30/2014,8,14
370,267,MTN Group,South Africa,Mobile telecommunications,31257.1,12697.7,2772.3,21827.6,,16.9,11.2,6.4,12/31/2014,19,6
371,,Sony,Japan,Leisure goods,31109.9,75264.8,-1243.9,147562,140900,26.6,,0.9,3/31/2014,4,12
372,,Murata Manufacturing,Japan,Electronic & electrical equipment,31058.9,8204.7,903,11959.3,37061,137.9,32.2,0.9,3/31/2014,4,34
373,424,Oversea-Chinese Banking,Singapore,Banks,30768.4,N/R,2897.4,302495.6,29512,7.7,10,3.5,12/31/2014,27,4
374,413,PPG Industries,US,Chemicals,30763.1,15360,2102,17078,44400,225.5,15,1.2,12/31/2014,0,18
375,296,Generali,Italy,Nonlife insurance,30614.7,N/R,2019.4,596229.8,78333,19.7,15.1,3.7,12/31/2014,21,2
376,396,Luxottica,Italy,Personal goods,30581.4,9253.1,777,11373.8,77734,63.5,38.9,2.7,12/31/2014,21,20
377,399,Investor,Sweden,Financial services,30357.7,N/R,6496.6,41336.8,15560,39.9,4.7,2.9,12/31/2014,23,17
378,309,Telenor,Norway,Mobile telecommunications,30349.2,14255.1,1214.5,25468,33000,20.2,25.3,4.8,12/31/2014,26,6
379,356,State Street,US,Financial services,30315,N/R,2034,273905,29970,73.5,16.1,1.6,12/31/2014,0,17
380,331,Transcanada,Canada,Oil equipment & services,30304.4,8765.1,1583.5,50574.3,6059,42.8,20.1,4.3,12/31/2014,17,24
381,410,Marsh & Mclennan,US,Nonlife insurance,30199.3,N/R,1465,16964,57000,56.1,21.2,1.9,12/31/2014,0,2
382,,Hindustan Unilever,India,Personal goods,30199.1,4870.3,657.3,2264.1,,14,45,1.6,3/31/2014,18,20
383,489,Fresenius,Germany,Health care equipment & services,30129.9,28090.7,1290.2,47854.9,216275,59.4,24.9,0.9,12/31/2014,9,23
384,333,Swisscom,Switzerland,Fixed line telecommunications,30107.2,11773.7,1704.2,20638.9,21125,581.2,17.7,,12/31/2014,2,13
385,418,Canadian Pacific Railway,Canada,Industrial transportation,30095,5697.1,1270.2,14320.2,14698,183.1,24.8,0.7,12/31/2014,17,26
386,490,Becton Dickinson,US,Health care equipment & services,29983.2,8446,1185,12447,30619,143.6,24,1.5,9/30/2014,0,23
387,,Southwest Airlines,US,Travel & leisure,29946.5,18605,1140,20200,46278,44.3,27,0.5,12/31/2014,0,27
388,464,SK Hynix,South Korea,Technology hardware & equipment,29889.1,15652.8,3834.7,24322.6,,41.1,7.7,0.7,12/31/2014,5,0
389,,China Merchants Securities,China,Financial services,29820.2,N/R,620.5,31104.2,5505,5.1,46.6,1.4,12/31/2014,1,17
390,258,E On,Germany,"Gas, water & multiutilities",29817.3,134892.4,-3821,144520,58503,14.9,,4.1,12/31/2014,9,30
391,382,Archer Daniels Midland,US,Food producers,29811.6,81201,2248,44027,33900,47.4,13.8,1.8,12/31/2014,0,9
392,465,Cardinal Health,US,Food & drug retailers,29800.9,91084,1166,26033,34000,90.3,26.7,1.4,6/30/2014,0,21
393,398,WPP,UK,Media,29790.9,17957.8,1677.9,41299.2,179000,22.7,15.7,2.6,12/31/2014,7,15
394,279,Precision Castparts,US,Aerospace & defence,29771.2,9616,1777,18586,29100,210,17.3,0.1,3/30/2014,0,25
395,310,Deere,US,Industrial engineering,29770.4,36066.9,3160.7,58559.8,59600,87.7,10.2,2.5,10/31/2014,0,31
396,,China Shipbuilding Industries,China,Industrial engineering,29736,9896,369,33283,55779,1.6,,0.6,12/31/2014,1,31
397,437,Allstate,US,Nonlife insurance,29637.1,N/R,2850,100043,40200,71.2,11.4,1.6,12/31/2014,0,2
398,,Guosen Securities,China,Financial services,29336.7,N/R,799.8,26005,7174,3.6,32.5,0.8,12/31/2014,1,17
399,,Hilton Worldwide,US,Travel & leisure,29248.1,10502,673,25970,157000,29.6,43.6,,12/31/2014,0,27
400,442,Micron Technology,US,Technology hardware & equipment,29227.5,16358,3045,21682,30400,27.1,10.7,,8/28/2014,0,0
401,463,ICICI Bank,India,Banks,29225.2,N/R,1839.5,124382.9,,5,15.8,0.4,3/31/2014,18,4
402,411,Mitsui Fudosan,Japan,Real estate investment & services,29178.5,N/R,744.6,43949.3,16585,29.4,34.6,0.7,3/31/2014,4,32
403,251,Tesco,UK,Food & drug retailers,29163.7,106460.5,1631.5,83904.4,510444,3.6,18,7,2/22/2014,7,21
404,373,Safran,France,Aerospace & defence,29111.8,18191.1,-152.4,31324.1,68945,69.8,,2.1,12/31/2014,8,25
